equipamento,local,contrato,espera_acumulada_min,espera_inicio
GE-02-50,"INDUSTRIA COMERCIO E DISTRIBUIDORA JDF DE PECAS LTDA",2651,0,
GE-06-115,CHUA DISTRIBUIDORA DE ALIMENTOS E REPRESENTACOES S/A,2013,0,
GE-09-170,ADRIANO MAGNO FERREIRA,4413,0,
GE-10-25,JEOVA JIREH GESTÃO DE ESTOQUE EM LOGISTICA BR LTDA,644,0,
GE-103-150,ELETROMECANICA DO MARANHÃO LTDA,3996,0,
GE-104-65,JEOVA JIREH GESTAO DE ESTOQUE EM LOGISTICA BR LTDA,4411,0,
GE-105-55,BOSQUE SÃO PEDRO ESPAÇO E EVENTOS LTDA,4402,0,
GE-106-500,DIFFERENCIAL ENGENHARIA LTDA,3977,0,
GE-107-230,"R. A LOCAÇÕES DE MAQUINAS TERRAPLANAGEM E PAVIMENTAÇÃO LTDA",4214,0,
GE-109-25,KLEBER BERNARDES DA SILVA,4329,0,
GE-110-80,CONDOMINIO BRASIL LOG JF,3654,0,
GE-113-360,ROSSETTO INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,3482,0,
GE-114-360,FUNDACAO GETULIO VARGAS,3866,0,
GE-11-75,ASSOCIACAO DOS PROPRIETARIOS E MORADORES DO ESTRELA ALTA,1749,0,
GE-13-500,HWN ENGENHARIA LTDA,4368,0,
GE-16-40,DIOGO PERON DE SOUZA GOMES,69,0,
GE-18-100,PROVÍNCIA REDENTORISTA DO RIO DE JANEIRO,4374,0,
GE-21-54,PROGEO ENGENHARIA LTDA,4283,0,
GE-22-54,INDUSTRIA E COMERCIO DE PAO DE QUEIJO GOMES LTDA,3462,0,
GE-24-54,INDUSTRIA E COMERCIO DE PAO DE QUEIJO GOMES LTDA,3463,0,
GE-25-60,POSTO IRMAOS CONDE LTDA - ME,18,0,
GE-26-75,M. MAGALHAES INCORPORADORA LTDA,64,0,
GE-27-180,ADRIANO MAGNO FERREIRA,4413,0,
GE-30-105,GRAD21 CONSTRUCOES LTDA,4226,0,
GE-32-115,HUGO LIMA DE SIQUEIRA,2681,0,
GE-33-115,CONDOMINIO EMPRESARIAL OSCAR VIDAL CORPORATE,4027,0,
GE-37-180,MPC COMÉRCIO E SERVIÇOS ELÉTRICOS EIRELI,4409,0,
GE-35-150,CUBO PRODUÇÕES DE EVENTOS LTDA,4397,0,
GE-36-150,MIKI LATICINIOS LTDA,4349,0,
GE-40-180,ADRIANO MAGNO FERREIRA,4413,0,
GE-42-450,EMPRESA MUNICIPAL DE PAVIMENTAÇÃO E URBANIDADES - EMPAV,1669,0,
GE-43-450,NEXA RECURSOS MINERAIS S.A.,4387,0,
GE-44-260,ABC ATACADO BRASILEIRO DA CONSTRUÇÃO SA,51,0,
GE-45-40,BRANET GESTÃO DE LOGISTICA EM SAUDE LTDA,225,0,
GE-46-25,INDUSTRIA E COMERCIO DE PAO DE QUEIJO GOMES LTDA,3461,0,
GE-47-115,INDUSTRIA COMERCIO DISTRIBUIDORA JDF DE PEÇAS EIRELI - EPP,366,0,
GE-48-15,AUTO POSTO GARANHAO LTDA,1711,0,
GE-49-55,AFJ INVESTIMENTOS LTDA,4353,0,
GE-50-55,COIMBRA PRODUTOS DE LATICINIOS LIMITADA,3601,0,
GE-52-212,BARRO BRANCO AGROPECUARIA,3167,0,
GE-54-55,ALVARO AGUIAR ENGENHARIA E CONSTRUÇÕES LTDA,4362,0,
GE-55-55,DIFFERENCIAL ENGENHARIA LTDA,3978,0,
GE-57-55,ALTIPLANO SERVIÇOS EM ALTURA E TREINAMENTOS LTDA,4390,0,
GE-58-81,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTO DE LIMA DUARTE - DEMAE,4382,0,
GE-59-180,CALDO BRODO FORNECEDOR DE ALIMENTOS LTDA,2157,0,
GE-60-180,RM TRADE SOLUÇÃO EM NEGOCIOS E SERVIÇOS LTDA,4351,0,
GE-61-230,SAO LUIZ HOTELARIA LTDA,3808,0,
GE-63-40,JEOVA JIREH GESTAO DE ESTOQUE EM LOGISTICA BR LTDA,1188,0,
GE-64-55,"INDUSTRIA COMERCIO E DISTIBUIDORA JDF DE PEÇAS EIRELI",384,0,
GE-68-50,JEOVA JIREH GESTAO DE ESTOQUE EM LOGISTICA BR LTDA,4410,0,
GE-70-40,JEOVA JIREH GESTAO DE ESTOQUE EM LOGISTICA BR LTDA,3764,0,
GE-72-140,ASSOCIACAO DOS PROMOTORES DE INOVACAO NO EMPREENDIMENTO MOINHO,3665,0,
GE-74-375,MODULO RIO INDUSTRIA DE EMBALAGENS LTDA,2578,0,
GE-75-25,JEOVA JIREH GESTAO DE ESTOQUE EM LOGISTICA BR LTDA- ITAGUAI,1297,0,
GE-77-140,ACR EMPREENDIMENTOS IMOBILIARIOS 07 SPE - LTDA,4169,0,
GE-78-81,HWN ENGENHARIA LTDA,4372,0,
GE-79-81,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTO DE LIMA DUARTE - DEMAE,4382,0,
GE-80-81,BOSQUE SÃO PEDRO ESPAÇO E EVENTOS LTDA,1680,0,
GE-81-50,VERSUS EVENTOS LTDA,4359,0,
GE-84-81,AUTO POSTO SALVATERRA LTDA,1921,0,
GE-87-81,PROGEO ENGENHARIA LTDA,4207,0,
GE-91-70,LOGG SERVICOS E LOGISTICA LTDA,4086,0,
GE-92-80,FAZENDA CACHOEIRA ENERGIA,3722,0,
GE-95-460,MUNICIPIO DE TRES RIOS,3815,0,
GE-96-27,JEOVA JIREH GESTAO DE ESTOQUE EM LOGISTICA BR LTDA,1965,0,
GE-97-33,EDNILSON DE OLIVEIRA ALMEIDA,3671,0,
GE-99-36,CONDOMINIO ESTRELA DO LAGO,2093,0,
GE-12-75,ESPAÇO ANTARIS,1235,0,
GE-62-81,GRAN JARDIM,2222,0,
GE-88-55,LIRIO DO VALE,3333,0,
GE-07-06,Manutenção Pesada - Desmaiada,,0,
GE-01-02,Manutenção Pesada - Desmaiada,,0,
GE-13-500,Manutenção Pesada - Desmaiada,,0,
MTS-02-300,Manutenção Pesada - Desmaiada,,0,
GE-90-20,Manutenção Pesada - Desmaiada,,0,
GE-101-12,Manutenção Pesada - Desmaiada,,0,
GE-102-55,Manutenção Pesada - Bloco e cabeçote na sudeste | Prazo: 15/07,,0,
